LAST SEEN   TYPE      REASON              OBJECT                              MESSAGE
15m         Normal    Scheduled           pod/exp-fleet-0-7db86ff5fc-l45wr    Successfully assigned default/exp-fleet-0-7db86ff5fc-l45wr to 150-136-93-75
41m         Warning   FailedScheduling    pod/vllm-c-5dcdb747df-txsm8         0/3 nodes are available: 1 Insufficient nvidia.com/gpu, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Warning   FailedScheduling    pod/vllm-c-5dcdb747df-txsm8         0/3 nodes are available: 1 Insufficient nvidia.com/gpu, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
15m         Normal    Scheduled           pod/vllm-c-555c58f689-6wn4w         Successfully assigned default/vllm-c-555c58f689-6wn4w to 150-136-93-75
24m         Normal    Scheduled           pod/exp-fleet-0-546944d5f8-5h8fw    Successfully assigned default/exp-fleet-0-546944d5f8-5h8fw to 157-151-204-197
38m         Normal    Scheduled           pod/vllm-b-795d445654-wjtc2         Successfully assigned default/vllm-b-795d445654-wjtc2 to 157-151-204-197
11m         Normal    Scheduled           pod/exp-fleet-0-546944d5f8-hkkff    Successfully assigned default/exp-fleet-0-546944d5f8-hkkff to 157-151-204-197
24m         Normal    Scheduled           pod/vllm-c-699fd75975-kngg4         Successfully assigned default/vllm-c-699fd75975-kngg4 to 150-136-93-75
24m         Normal    Scheduled           pod/vllm-b-7885978c55-2fts4         Successfully assigned default/vllm-b-7885978c55-2fts4 to 157-151-204-197
41m         Normal    Scheduled           pod/vllm-c-5dcdb747df-txsm8         Successfully assigned default/vllm-c-5dcdb747df-txsm8 to 150-136-93-75
41m         Normal    Scheduled           pod/vllm-b-7695cfc44f-tdk7g         Successfully assigned default/vllm-b-7695cfc44f-tdk7g to 157-151-204-197
20m         Normal    Scheduled           pod/exp-fleet-0-546944d5f8-ml6vt    Successfully assigned default/exp-fleet-0-546944d5f8-ml6vt to 157-151-204-197
41m         Warning   FailedScheduling    pod/vllm-b-7695cfc44f-tdk7g         0/3 nodes are available: 1 Insufficient nvidia.com/gpu, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Warning   FailedScheduling    pod/vllm-b-7695cfc44f-tdk7g         0/3 nodes are available: 1 Insufficient nvidia.com/gpu, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
15m         Normal    Scheduled           pod/vllm-b-5675b75985-j2tgj         Successfully assigned default/vllm-b-5675b75985-j2tgj to 157-151-204-197
41m         Normal    Scheduled           pod/vllm-a-7b875bd466-6k8xx         Successfully assigned default/vllm-a-7b875bd466-6k8xx to 129-80-206-135
42m         Warning   FailedScheduling    pod/vllm-a-7b875bd466-6k8xx         0/3 nodes are available: 1 Insufficient nvidia.com/gpu, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
48m         Warning   FailedScheduling    pod/vllm-a-7b875bd466-6k8xx         0/3 nodes are available: 1 Insufficient nvidia.com/gpu, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
38m         Normal    Scheduled           pod/vllm-c-c7f7ff9f4-4cnjd          Successfully assigned default/vllm-c-c7f7ff9f4-4cnjd to 150-136-93-75
24m         Normal    Scheduled           pod/vllm-a-6d886c649b-6xdr4         Successfully assigned default/vllm-a-6d886c649b-6xdr4 to 129-80-206-135
30m         Normal    Scheduled           pod/exp-fleet-0-65f98fdffd-zjfkl    Successfully assigned default/exp-fleet-0-65f98fdffd-zjfkl to 129-80-206-135
15m         Normal    Scheduled           pod/vllm-a-5b4d4ddb-jkztb           Successfully assigned default/vllm-a-5b4d4ddb-jkztb to 129-80-206-135
38m         Normal    Scheduled           pod/vllm-a-54d67d6dbc-kpbl4         Successfully assigned default/vllm-a-54d67d6dbc-kpbl4 to 129-80-206-135
48m         Normal    SuccessfulCreate    replicaset/vllm-b-7695cfc44f        Created pod: vllm-b-7695cfc44f-tdk7g
48m         Normal    ScalingReplicaSet   deployment/vllm-b                   Scaled up replica set vllm-b-7695cfc44f from 0 to 1
48m         Normal    SuccessfulCreate    replicaset/vllm-a-7b875bd466        Created pod: vllm-a-7b875bd466-6k8xx
48m         Normal    ScalingReplicaSet   deployment/vllm-a                   Scaled up replica set vllm-a-7b875bd466 from 0 to 1
48m         Normal    SuccessfulCreate    replicaset/vllm-c-5dcdb747df        Created pod: vllm-c-5dcdb747df-txsm8
48m         Normal    ScalingReplicaSet   deployment/vllm-c                   Scaled up replica set vllm-c-5dcdb747df from 0 to 1
41m         Normal    ScalingReplicaSet   deployment/vllm-a                   Scaled down replica set vllm-a-6f8646cb8b from 1 to 0
41m         Normal    ScalingReplicaSet   deployment/vllm-b                   Scaled down replica set vllm-b-649b7bcc7c from 1 to 0
41m         Normal    SuccessfulDelete    replicaset/vllm-b-649b7bcc7c        Deleted pod: vllm-b-649b7bcc7c-4brvz
41m         Normal    Killing             pod/vllm-b-649b7bcc7c-4brvz         Stopping container vllm
41m         Normal    Killing             pod/vllm-a-6f8646cb8b-hq95r         Stopping container vllm
