LAST SEEN   TYPE      REASON                   OBJECT                              MESSAGE
51m         Normal    Scheduled                pod/vllm-c-54bcc99cb-vlr2j          Successfully assigned default/vllm-c-54bcc99cb-vlr2j to 157-151-148-27
15m         Normal    Scheduled                pod/exp-fleet-0-559747cb5c-5f672    Successfully assigned default/exp-fleet-0-559747cb5c-5f672 to 157-151-148-27
6m28s       Normal    Scheduled                pod/vllm-b-6fb8445777-4xfwz         Successfully assigned default/vllm-b-6fb8445777-4xfwz to 129-159-182-206
24m         Normal    Scheduled                pod/vllm-b-75f658fdb-dw9jq          Successfully assigned default/vllm-b-75f658fdb-dw9jq to 129-159-182-206
33m         Normal    Scheduled                pod/vllm-c-978f895c5-fd2ls          Successfully assigned default/vllm-c-978f895c5-fd2ls to 157-151-148-27
20m         Normal    Scheduled                pod/exp-fleet-0-7689fc5fb7-zw2db    Successfully assigned default/exp-fleet-0-7689fc5fb7-zw2db to 129-213-131-210
60m         Normal    Scheduled                pod/exp-fleet-0-7689fc5fb7-h9xr6    Successfully assigned default/exp-fleet-0-7689fc5fb7-h9xr6 to 129-213-131-210
15m         Normal    Scheduled                pod/exp-fleet-0-559747cb5c-j8z54    Successfully assigned default/exp-fleet-0-559747cb5c-j8z54 to 157-151-148-27
51m         Normal    Scheduled                pod/vllm-a-546b7d69f4-kxmhn         Successfully assigned default/vllm-a-546b7d69f4-kxmhn to 129-213-131-210
24m         Normal    Scheduled                pod/vllm-a-6875d55875-lj9d7         Successfully assigned default/vllm-a-6875d55875-lj9d7 to 129-213-131-210
60m         Normal    Scheduled                pod/vllm-a-76b59976d7-gc7bd         Successfully assigned default/vllm-a-76b59976d7-gc7bd to 129-213-131-210
47m         Normal    Scheduled                pod/exp-fleet-0-7689fc5fb7-b9h97    Successfully assigned default/exp-fleet-0-7689fc5fb7-b9h97 to 129-213-131-210
24m         Normal    Scheduled                pod/exp-fleet-0-559747cb5c-nffmw    Successfully assigned default/exp-fleet-0-559747cb5c-nffmw to 157-151-148-27
6m28s       Normal    Scheduled                pod/vllm-a-78b8667956-rc6fk         Successfully assigned default/vllm-a-78b8667956-rc6fk to 129-213-131-210
60m         Normal    Scheduled                pod/vllm-c-67fdd794dc-swdgf         Successfully assigned default/vllm-c-67fdd794dc-swdgf to 157-151-148-27
15m         Normal    Scheduled                pod/vllm-c-668f5976c5-ck7ns         Successfully assigned default/vllm-c-668f5976c5-ck7ns to 157-151-148-27
42m         Normal    Scheduled                pod/vllm-c-5fc9f878db-5b2v4         Successfully assigned default/vllm-c-5fc9f878db-5b2v4 to 157-151-148-27
29m         Normal    Scheduled                pod/exp-fleet-0-7689fc5fb7-b6bj8    Successfully assigned default/exp-fleet-0-7689fc5fb7-b6bj8 to 129-213-131-210
6m28s       Normal    Scheduled                pod/vllm-c-56dcf5f9c8-b9jpj         Successfully assigned default/vllm-c-56dcf5f9c8-b9jpj to 157-151-148-27
24m         Normal    Scheduled                pod/vllm-c-54d765789f-gnpjc         Successfully assigned default/vllm-c-54d765789f-gnpjc to 157-151-148-27
11m         Normal    Scheduled                pod/exp-fleet-0-559747cb5c-gzkjw    Successfully assigned default/exp-fleet-0-559747cb5c-gzkjw to 157-151-148-27
6m29s       Normal    Scheduled                pod/exp-fleet-0-5c5b4c7669-8kjvq    Successfully assigned default/exp-fleet-0-5c5b4c7669-8kjvq to 129-159-182-206
42m         Normal    Scheduled                pod/exp-fleet-0-559747cb5c-nhvps    Successfully assigned default/exp-fleet-0-559747cb5c-nhvps to 157-151-148-27
42m         Normal    Scheduled                pod/exp-fleet-0-559747cb5c-rtsxr    Successfully assigned default/exp-fleet-0-559747cb5c-rtsxr to 157-151-148-27
56m         Normal    Scheduled                pod/exp-fleet-0-559747cb5c-t4hm2    Successfully assigned default/exp-fleet-0-559747cb5c-t4hm2 to 157-151-148-27
33m         Normal    Scheduled                pod/vllm-a-799d95468c-slj8f         Successfully assigned default/vllm-a-799d95468c-slj8f to 129-213-131-210
