TS                     TYPE      REASON                           OBJ                           MSG
<nil>                  Normal    Starting                         132-226-53-131                <none>
<nil>                  Normal    Starting                         132-145-198-193               <none>
<nil>                  Normal    Scheduled                        gpufleet-1-c6dc7c445-jp269    Successfully assigned default/gpufleet-1-c6dc7c445-jp269 to 132-226-53-131
<nil>                  Normal    Scheduled                        gpufleet-1-5dfb5566b4-59hg6   Successfully assigned default/gpufleet-1-5dfb5566b4-59hg6 to 129-80-83-89
<nil>                  Normal    Scheduled                        gpufleet-0-599bd986d6-vs2wc   Successfully assigned default/gpufleet-0-599bd986d6-vs2wc to 132-145-198-193
<nil>                  Normal    Starting                         129-80-83-89                  <none>
2026-07-04T12:12:02Z   Normal    NodeHasSufficientMemory          132-145-198-193               Node 132-145-198-193 status is now: NodeHasSufficientMemory
2026-07-04T12:12:02Z   Warning   InvalidDiskCapacity              132-145-198-193               invalid capacity 0 on image filesystem
2026-07-04T12:12:02Z   Normal    Starting                         132-145-198-193               Starting kubelet.
2026-07-04T12:12:02Z   Normal    NodeHasNoDiskPressure            132-145-198-193               Node 132-145-198-193 status is now: NodeHasNoDiskPressure
2026-07-04T12:12:02Z   Normal    NodeHasSufficientPID             132-145-198-193               Node 132-145-198-193 status is now: NodeHasSufficientPID
2026-07-04T12:12:02Z   Normal    NodeAllocatableEnforced          132-145-198-193               Updated Node Allocatable limit across pods
2026-07-04T12:12:02Z   Normal    CertificateExpirationOK          132-145-198-193               Node and Certificate Authority certificates managed by k3s are OK
2026-07-04T12:12:02Z   Normal    NodeReady                        132-145-198-193               Node 132-145-198-193 status is now: NodeReady
2026-07-04T12:12:05Z   Normal    Synced                           132-145-198-193               Node synced successfully
2026-07-04T12:12:07Z   Normal    RegisteredNode                   132-145-198-193               Node 132-145-198-193 event: Registered Node 132-145-198-193 in Controller
2026-07-04T12:12:07Z   Normal    NodePasswordValidationComplete   132-145-198-193               Deferred node password secret validation complete
2026-07-04T12:20:55Z   Normal    CertificateExpirationOK          129-80-83-89                  Node and Certificate Authority certificates managed by k3s are OK
2026-07-04T12:20:56Z   Warning   InvalidDiskCapacity              129-80-83-89                  invalid capacity 0 on image filesystem
2026-07-04T12:20:56Z   Normal    NodeAllocatableEnforced          129-80-83-89                  Updated Node Allocatable limit across pods
2026-07-04T12:20:56Z   Normal    Synced                           129-80-83-89                  Node synced successfully
2026-07-04T12:20:56Z   Normal    NodeReady                        129-80-83-89                  Node 129-80-83-89 status is now: NodeReady
2026-07-04T12:20:56Z   Normal    NodeHasSufficientPID             129-80-83-89                  Node 129-80-83-89 status is now: NodeHasSufficientPID
2026-07-04T12:20:56Z   Normal    NodeHasNoDiskPressure            129-80-83-89                  Node 129-80-83-89 status is now: NodeHasNoDiskPressure
2026-07-04T12:20:56Z   Normal    NodeHasSufficientMemory          129-80-83-89                  Node 129-80-83-89 status is now: NodeHasSufficientMemory
2026-07-04T12:20:56Z   Normal    Starting                         129-80-83-89                  Starting kubelet.
2026-07-04T12:20:57Z   Normal    RegisteredNode                   129-80-83-89                  Node 129-80-83-89 event: Registered Node 129-80-83-89 in Controller
2026-07-04T12:21:05Z   Normal    CertificateExpirationOK          132-226-53-131                Node and Certificate Authority certificates managed by k3s are OK
2026-07-04T12:21:06Z   Normal    Synced                           132-226-53-131                Node synced successfully
2026-07-04T12:21:06Z   Warning   InvalidDiskCapacity              132-226-53-131                invalid capacity 0 on image filesystem
2026-07-04T12:21:06Z   Normal    NodeHasSufficientPID             132-226-53-131                Node 132-226-53-131 status is now: NodeHasSufficientPID
